#Person location Sublocation StartTime EndTime Type
40022 997 1 8864100 0 1
40008 978 1 8132700 0 1
40000 974 1 9104400 0 1
40035 1096 1 8572020 0 1
40024 5302 1 10494840 0 1
40030 994 1 8511360 0 1
40020 5185 1 9751800 0 1
40043 989 1 9830280 0 1
40001 5211 1 10249200 0 1
40001 5043 1 10252320 0 1
40015 977 1 8306280 0 1
40006 996 1 8203200 0 1
40038 810 1 26426580 0 1
40059 996 1 9303180 0 1
40032 5302 1 8139060 0 1
40054 986 1 9089040 0 1
40054 986 1 9090480 0 1
40007 985 1 8035200 0 1
40021 993 1 9444660 0 1
40055 5302 1 9567960 0 1
40022 968 1 8722440 0 1
40022 993 1 8754660 0 1
40022 993 1 8766180 0 1
40060 975 1 9078120 0 1
40045 1101 1 7887540 0 1
40008 978 1 8121180 0 1
40000 1228 1 9118800 0 1
40002 975 1 10200000 0 1
40035 972 1 8569560 0 1
40057 5186 1 9192720 0 1
40057 975 1 9197820 0 1
40013 975 1 10264980 0 1
40037 5257 1 9606540 0 1
40059 979 1 9307080 0 1
40029 1259 1 3745320 0 1
40054 986 1 9093360 0 1
40007 1026 1 8022600 0 1
40007 1026 1 8024940 0 1
40007 985 1 8034420 0 1
40021 970 1 9441060 0 1
40026 7312 1 22594380 0 1
40047 1274 1 25904580 0 1
40022 973 1 8691300 0 1
40004 5184 1 8948280 0 1
40022 997 1 8884260 0 1
40022 522 1 8894340 0 1
40000 974 1 9085680 0 1
40008 978 1 8115420 0 1
40009 970 1 10192920 0 1
40042 969 1 9573660 0 1
40061 878 1 9132000 0 1
40035 972 1 8563800 0 1
40024 978 1 10497000 0 1
40010 971 1 10320060 0 1
40010 971 1 10333020 0 1
40057 996 1 9202140 0 1
40041 981 1 10391820 0 1
40011 971 1 8688900 0 1
40011 1093 1 8711160 0 1
40006 976 1 8177280 0 1
40016 1068 1 9508020 0 1
40016 1031 1 9516660 0 1
40050 1151 1 30499800 0 1
40044 889 1 9545460 0 1
40044 5043 1 9545640 0 1
40044 969 1 9545700 0 1
40044 983 1 9551880 0 1
40038 5122 1 26415240 0 1
40059 5038 1 9303180 0 1
40056 978 1 10158660 0 1
40032 995 1 8153160 0 1
40054 977 1 9063120 0 1
40007 969 1 8015940 0 1
40028 1271 1 27122820 0 1
40022 973 1 8691540 0 1
40022 993 1 8777700 0 1
40022 997 1 8887140 0 1
40022 522 1 8917380 0 1
40045 995 1 7906260 0 1
40040 1115 1 10160160 0 1
40014 1052 1 8423760 0 1
40027 5133 1 9405240 0 1
40010 971 1 10330140 0 1
40013 975 1 10263540 0 1
40043 981 1 9825420 0 1
40001 1099 1 10249620 0 1
40049 5302 1 9046380 0 1
40049 5038 1 9047640 0 1
40037 975 1 9610380 0 1
40011 1093 1 8713380 0 1
40038 810 1 26415600 0 1
40054 977 1 9060240 0 1
40054 977 1 9077520 0 1
40053 898 1 9648180 0 1
40053 898 1 9656820 0 1
40022 968 1 8718660 0 1
40004 5022 1 8949360 0 1
40004 5034 1 8964120 0 1
40004 984 1 8976000 0 1
40042 5188 1 9571920 0 1
40000 974 1 9094320 0 1
40012 1476 1 14415300 0 1
40034 5195 1 8958780 0 1
40034 894 1 8964960 0 1
